NAMESPACE       LAST SEEN   TYPE      REASON                 OBJECT                                                    MESSAGE
mesh-app        58m         Normal    SuccessfulCreate       replicaset/productpage-5c9b6ddf7                          Created pod: productpage-5c9b6ddf7-vdcvl
mesh-app        58m         Normal    Scheduled              pod/productpage-5c9b6ddf7-vdcvl                           Successfully assigned mesh-app/productpage-5c9b6ddf7-vdcvl to minikube
mesh-app        58m         Normal    Pulled                 pod/productpage-5c9b6ddf7-vdcvl                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        58m         Normal    Started                pod/productpage-5c9b6ddf7-vdcvl                           Container started
mesh-app        58m         Normal    Created                pod/productpage-5c9b6ddf7-vdcvl                           Container created
mesh-app        58m         Normal    Started                pod/productpage-5c9b6ddf7-vdcvl                           Container started
mesh-app        58m         Normal    Created                pod/productpage-5c9b6ddf7-vdcvl                           Container created
mesh-app        58m         Normal    Pulled                 pod/productpage-5c9b6ddf7-vdcvl                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        58m         Normal    Started                pod/productpage-5c9b6ddf7-vdcvl                           Container started
mesh-app        58m         Normal    Created                pod/productpage-5c9b6ddf7-vdcvl                           Container created
mesh-app        58m         Normal    Pulled                 pod/productpage-5c9b6ddf7-vdcvl                           Container image "docker.io/istio/examples-bookinfo-productpage-v1:1.20.3" already present on machine and can be accessed by the pod
mesh-app        58m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-6cbc9fb67c from 1 to 0
mesh-app        58m         Normal    Killing                pod/productpage-6cbc9fb67c-jwptz                          Stopping container productpage
mesh-app        58m         Normal    SuccessfulDelete       replicaset/productpage-6cbc9fb67c                         Deleted pod: productpage-6cbc9fb67c-jwptz
mesh-app        58m         Normal    Killing                pod/productpage-6cbc9fb67c-jwptz                          Stopping container istio-proxy
mesh-app        57m         Normal    Scheduled              pod/productpage-69974f894d-lgnt4                          Successfully assigned mesh-app/productpage-69974f894d-lgnt4 to minikube
mesh-app        57m         Normal    SuccessfulCreate       replicaset/productpage-69974f894d                         Created pod: productpage-69974f894d-lgnt4
mesh-app        57m         Normal    Scheduled              pod/productpage-887586f7d-qw7pc                           Successfully assigned mesh-app/productpage-887586f7d-qw7pc to minikube
mesh-app        57m         Normal    SuccessfulCreate       replicaset/productpage-887586f7d                          Created pod: productpage-887586f7d-qw7pc
mesh-app        57m         Normal    SuccessfulDelete       replicaset/productpage-69974f894d                         Deleted pod: productpage-69974f894d-lgnt4
mesh-app        57m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-887586f7d from 0 to 1
mesh-app        57m         Normal    Started                pod/productpage-887586f7d-qw7pc                           Container started
mesh-app        57m         Normal    Pulled                 pod/productpage-887586f7d-qw7pc                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        57m         Normal    Created                pod/productpage-887586f7d-qw7pc                           Container created
mesh-app        57m         Normal    Started                pod/productpage-887586f7d-qw7pc                           Container started
mesh-app        57m         Normal    Pulled                 pod/productpage-887586f7d-qw7pc                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        57m         Normal    Created                pod/productpage-887586f7d-qw7pc                           Container created
mesh-app        57m         Normal    Pulled                 pod/productpage-887586f7d-qw7pc                           Container image "docker.io/istio/examples-bookinfo-productpage-v1:1.20.3" already present on machine and can be accessed by the pod
mesh-app        57m         Normal    Created                pod/productpage-887586f7d-qw7pc                           Container created
mesh-app        57m         Normal    Started                pod/productpage-887586f7d-qw7pc                           Container started
mesh-app        57m         Normal    Killing                pod/productpage-5c9b6ddf7-vdcvl                           Stopping container productpage
mesh-app        57m         Normal    Killing                pod/productpage-5c9b6ddf7-vdcvl                           Stopping container istio-proxy
mesh-app        57m         Normal    SuccessfulDelete       replicaset/productpage-5c9b6ddf7                          Deleted pod: productpage-5c9b6ddf7-vdcvl
observability   39m         Normal    SuccessfulCreate       job/obs-kube-prometheus-stack-admission-create            Created pod: obs-kube-prometheus-stack-admission-create-82t2f
observability   39m         Normal    Scheduled              pod/obs-kube-prometheus-stack-admission-create-82t2f      Successfully assigned observability/obs-kube-prometheus-stack-admission-create-82t2f to minikube
observability   39m         Normal    Pulled                 pod/obs-kube-prometheus-stack-admission-create-82t2f      Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.7" already present on machine and can be accessed by the pod
observability   39m         Normal    Started                pod/obs-kube-prometheus-stack-admission-create-82t2f      Container started
observability   39m         Normal    Created                pod/obs-kube-prometheus-stack-admission-create-82t2f      Container created
observability   39m         Normal    Completed              job/obs-kube-prometheus-stack-admission-create            Job completed
observability   39m         Normal    Scheduled              pod/obs-kube-prometheus-stack-admission-patch-td7qg       Successfully assigned observability/obs-kube-prometheus-stack-admission-patch-td7qg to minikube
observability   39m         Normal    SuccessfulCreate       job/obs-kube-prometheus-stack-admission-patch             Created pod: obs-kube-prometheus-stack-admission-patch-td7qg
observability   39m         Normal    Created                pod/obs-kube-prometheus-stack-admission-patch-td7qg       Container created
observability   39m         Normal    Pulled                 pod/obs-kube-prometheus-stack-admission-patch-td7qg       Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.7" already present on machine and can be accessed by the pod
observability   39m         Normal    Started                pod/obs-kube-prometheus-stack-admission-patch-td7qg       Container started
observability   39m         Normal    Completed              job/obs-kube-prometheus-stack-admission-patch             Job completed
observability   36m         Normal    Scheduled              pod/obs-kube-prometheus-stack-admission-create-p79mc      Successfully assigned observability/obs-kube-prometheus-stack-admission-create-p79mc to minikube
observability   36m         Normal    Pulled                 pod/obs-kube-prometheus-stack-admission-create-p79mc      Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.7" already present on machine and can be accessed by the pod
observability   36m         Normal    Created                pod/obs-kube-prometheus-stack-admission-create-p79mc      Container created
observability   36m         Normal    SuccessfulCreate       job/obs-kube-prometheus-stack-admission-create            Created pod: obs-kube-prometheus-stack-admission-create-p79mc
observability   36m         Normal    Started                pod/obs-kube-prometheus-stack-admission-create-p79mc      Container started
observability   36m         Normal    Completed              job/obs-kube-prometheus-stack-admission-create            Job completed
observability   36m         Normal    SuccessfulCreate       job/obs-kube-prometheus-stack-admission-patch             Created pod: obs-kube-prometheus-stack-admission-patch-hmv58
observability   36m         Normal    Pulled                 pod/obs-kube-prometheus-stack-admission-patch-hmv58       Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.7" already present on machine and can be accessed by the pod
observability   36m         Normal    Scheduled              pod/obs-kube-prometheus-stack-admission-patch-hmv58       Successfully assigned observability/obs-kube-prometheus-stack-admission-patch-hmv58 to minikube
observability   36m         Normal    Created                pod/obs-kube-prometheus-stack-admission-patch-hmv58       Container created
observability   36m         Normal    Started                pod/obs-kube-prometheus-stack-admission-patch-hmv58       Container started
observability   36m         Normal    Completed              job/obs-kube-prometheus-stack-admission-patch             Job completed
mesh-app        35m         Normal    SuccessfulCreate       replicaset/productpage-5c9b6ddf7                          Created pod: productpage-5c9b6ddf7-mpkqn
mesh-app        35m         Normal    Scheduled              pod/productpage-5c9b6ddf7-mpkqn                           Successfully assigned mesh-app/productpage-5c9b6ddf7-mpkqn to minikube
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-5c9b6ddf7 from 0 to 1
mesh-app        35m         Normal    Pulled                 pod/productpage-5c9b6ddf7-mpkqn                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Created                pod/productpage-5c9b6ddf7-mpkqn                           Container created
mesh-app        35m         Normal    Started                pod/productpage-5c9b6ddf7-mpkqn                           Container started
mesh-app        35m         Normal    Started                pod/productpage-5c9b6ddf7-mpkqn                           Container started
mesh-app        35m         Normal    Created                pod/productpage-5c9b6ddf7-mpkqn                           Container created
mesh-app        35m         Normal    Pulled                 pod/productpage-5c9b6ddf7-mpkqn                           Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Started                pod/productpage-5c9b6ddf7-mpkqn                           Container started
mesh-app        35m         Normal    Created                pod/productpage-5c9b6ddf7-mpkqn                           Container created
mesh-app        35m         Normal    Pulled                 pod/productpage-5c9b6ddf7-mpkqn                           Container image "docker.io/istio/examples-bookinfo-productpage-v1:1.20.3" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Killing                pod/productpage-887586f7d-qw7pc                           Stopping container istio-proxy
mesh-app        35m         Normal    SuccessfulDelete       replicaset/productpage-887586f7d                          Deleted pod: productpage-887586f7d-qw7pc
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-887586f7d from 1 to 0
mesh-app        35m         Normal    Killing                pod/productpage-887586f7d-qw7pc                           Stopping container productpage
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-69974f894d from 1 to 0
mesh-app        35m         Normal    Scheduled              pod/productpage-69974f894d-qh4vc                          Successfully assigned mesh-app/productpage-69974f894d-qh4vc to minikube
mesh-app        35m         Normal    SuccessfulDelete       replicaset/productpage-69974f894d                         Deleted pod: productpage-69974f894d-qh4vc
mesh-app        35m         Normal    SuccessfulCreate       replicaset/productpage-7fbc6479cb                         Created pod: productpage-7fbc6479cb-pwnnp
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-7fbc6479cb from 0 to 1
mesh-app        35m         Normal    SuccessfulCreate       replicaset/productpage-69974f894d                         Created pod: productpage-69974f894d-qh4vc
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-69974f894d from 0 to 1
mesh-app        35m         Normal    Scheduled              pod/productpage-7fbc6479cb-pwnnp                          Successfully assigned mesh-app/productpage-7fbc6479cb-pwnnp to minikube
mesh-app        35m         Normal    Pulled                 pod/productpage-7fbc6479cb-pwnnp                          Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Created                pod/productpage-7fbc6479cb-pwnnp                          Container created
