NAMESPACE       NAME                                                TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                                      AGE
default         details                                             ClusterIP      10.103.204.77    <none>        9080/TCP                                                                     11d
default         kubernetes                                          ClusterIP      10.96.0.1        <none>        443/TCP                                                                      11d
default         productpage                                         ClusterIP      10.99.42.169     <none>        9080/TCP                                                                     11d
default         ratings                                             ClusterIP      10.109.207.121   <none>        9080/TCP                                                                     11d
default         reviews                                             ClusterIP      10.100.192.59    <none>        9080/TCP                                                                     11d
istio-system    grafana                                             ClusterIP      10.98.88.164     <none>        3000/TCP                                                                     11d
istio-system    istio-egressgateway                                 ClusterIP      10.96.155.174    <none>        80/TCP,443/TCP                                                               11d
istio-system    istio-ingressgateway                                LoadBalancer   10.101.232.40    <pending>     15021:31969/TCP,80:32515/TCP,443:32667/TCP,31400:30484/TCP,15443:31978/TCP   11d
istio-system    istiod                                              ClusterIP      10.96.98.188     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                        11d
istio-system    istiod-revision-tag-default                         ClusterIP      10.96.43.143     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                        65m
istio-system    jaeger-collector                                    ClusterIP      10.111.106.212   <none>        14268/TCP,14250/TCP,9411/TCP,4317/TCP,4318/TCP                               11d
istio-system    kiali                                               ClusterIP      10.108.158.37    <none>        20001/TCP,9090/TCP                                                           11d
istio-system    loki                                                ClusterIP      10.104.149.4     <none>        3100/TCP,9095/TCP                                                            11d
istio-system    loki-headless                                       ClusterIP      None             <none>        3100/TCP                                                                     11d
istio-system    loki-memberlist                                     ClusterIP      None             <none>        7946/TCP                                                                     11d
istio-system    prometheus                                          ClusterIP      10.105.211.31    <none>        9090/TCP                                                                     11d
istio-system    tracing                                             ClusterIP      10.99.18.23      <none>        80/TCP,16685/TCP                                                             11d
istio-system    zipkin                                              ClusterIP      10.111.206.46    <none>        9411/TCP                                                                     11d
kube-system     kube-dns                                            ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                                                       11d
kube-system     metrics-server                                      ClusterIP      10.98.156.107    <none>        443/TCP                                                                      3d20h
kube-system     obs-kube-prometheus-stack-coredns                   ClusterIP      None             <none>        9153/TCP                                                                     67m
kube-system     obs-kube-prometheus-stack-kube-controller-manager   ClusterIP      None             <none>        10257/TCP                                                                    67m
kube-system     obs-kube-prometheus-stack-kube-etcd                 ClusterIP      None             <none>        2381/TCP                                                                     67m
kube-system     obs-kube-prometheus-stack-kube-proxy                ClusterIP      None             <none>        10249/TCP                                                                    67m
kube-system     obs-kube-prometheus-stack-kube-scheduler            ClusterIP      None             <none>        10259/TCP                                                                    67m
kube-system     obs-kube-prometheus-stack-kubelet                   ClusterIP      None             <none>        10250/TCP,4194/TCP,10255/TCP                                                 66m
mesh-app        productpage                                         ClusterIP      10.96.111.8      <none>        9080/TCP                                                                     67m
observability   alertmanager-operated                               ClusterIP      None             <none>        9093/TCP,9094/TCP,9094/UDP                                                   66m
observability   jaeger-collector                                    ClusterIP      10.108.0.247     <none>        4317/TCP,4318/TCP,14250/TCP,14268/TCP                                        67m
observability   jaeger-query                                        ClusterIP      10.100.156.100   <none>        16686/TCP                                                                    67m
observability   obs-grafana                                         ClusterIP      10.106.27.22     <none>        80/TCP                                                                       67m
observability   obs-kube-prometheus-stack-alertmanager              ClusterIP      10.100.183.154   <none>        9093/TCP,8080/TCP                                                            67m
observability   obs-kube-prometheus-stack-operator                  ClusterIP      10.107.9.61      <none>        443/TCP                                                                      67m
observability   obs-kube-prometheus-stack-prometheus                ClusterIP      10.108.41.29     <none>        9090/TCP,8080/TCP                                                            67m
observability   obs-kube-state-metrics                              ClusterIP      10.100.250.117   <none>        8080/TCP                                                                     67m
observability   obs-prometheus-node-exporter                        ClusterIP      10.97.10.60      <none>        9100/TCP                                                                     67m
observability   otel-collector                                      ClusterIP      10.104.88.25     <none>        4317/TCP,4318/TCP,8889/TCP                                                   67m
observability   prometheus-operated                                 ClusterIP      None             <none>        9090/TCP                                                                     66m
