NAMESPACE       NAME                                                    READY   STATUS               RESTARTS      AGE     IP             NODE       NOMINATED NODE   READINESS GATES
default         details-v1-6cc9f5cc44-7gtjf                             2/2     Running              0             11d     10.244.0.6     minikube   <none>           <none>
default         productpage-v1-7f885b46fc-s9v85                         2/2     Running              0             11d     10.244.0.9     minikube   <none>           <none>
default         ratings-v1-77b8b6df5b-qgxk5                             2/2     Running              0             11d     10.244.0.7     minikube   <none>           <none>
default         reviews-v1-fdbf79cd8-lfn4z                              2/2     Running              0             11d     10.244.0.10    minikube   <none>           <none>
default         reviews-v2-674c6d8b4-sz28s                              2/2     Running              0             11d     10.244.0.8     minikube   <none>           <none>
default         reviews-v3-7b775c7568-7xb2h                             2/2     Running              0             11d     10.244.0.11    minikube   <none>           <none>
istio-system    grafana-665dcbcb9b-t8mh7                                1/1     Running              0             11d     10.244.0.13    minikube   <none>           <none>
istio-system    istio-egressgateway-f7fc5b56c-tnvft                     1/1     Running              0             67m     10.244.0.49    minikube   <none>           <none>
istio-system    istio-ingressgateway-8d7447659-7xz6k                    1/1     Running              0             67m     10.244.0.50    minikube   <none>           <none>
istio-system    istiod-7c4fbc86db-v6lrc                                 1/1     Running              0             67m     10.244.0.48    minikube   <none>           <none>
istio-system    jaeger-75846c549c-xhmld                                 1/1     Running              0             11d     10.244.0.12    minikube   <none>           <none>
istio-system    kiali-7d8fcc45dd-jwjzb                                  1/1     Running              0             11d     10.244.0.14    minikube   <none>           <none>
istio-system    loki-0                                                  2/2     Running              0             11d     10.244.0.15    minikube   <none>           <none>
istio-system    prometheus-759d7bcd86-fq8df                             2/2     Running              0             11d     10.244.0.16    minikube   <none>           <none>
kube-system     coredns-7d764666f9-l8gbf                                1/1     Running              0             11d     10.244.0.2     minikube   <none>           <none>
kube-system     etcd-minikube                                           1/1     Running              0             11d     192.168.49.2   minikube   <none>           <none>
kube-system     kube-apiserver-minikube                                 1/1     Running              0             11d     192.168.49.2   minikube   <none>           <none>
kube-system     kube-controller-manager-minikube                        1/1     Running              0             11d     192.168.49.2   minikube   <none>           <none>
kube-system     kube-proxy-wwckm                                        1/1     Running              0             11d     192.168.49.2   minikube   <none>           <none>
kube-system     kube-scheduler-minikube                                 1/1     Running              0             11d     192.168.49.2   minikube   <none>           <none>
kube-system     metrics-server-5778bb4788-sxq5x                         1/1     Running              0             3d20h   10.244.0.17    minikube   <none>           <none>
kube-system     storage-provisioner                                     1/1     Running              2 (11d ago)   11d     192.168.49.2   minikube   <none>           <none>
mesh-app        loadgen-exp-030848-2gvdw                                0/2     ContainerCannotRun   0             25m     10.244.0.77    minikube   <none>           <none>
mesh-app        loadgen-exp-030848-2wpjt                                0/2     ContainerCannotRun   0             35m     10.244.0.67    minikube   <none>           <none>
mesh-app        loadgen-exp-030848-9ct5t                                0/2     ContainerCannotRun   0             31m     10.244.0.75    minikube   <none>           <none>
mesh-app        loadgen-exp-030848-gwl4k                                0/2     ContainerCannotRun   0             33m     10.244.0.71    minikube   <none>           <none>
mesh-app        loadgen-exp-030848-h5nln                                0/2     ContainerCannotRun   0             36m     10.244.0.66    minikube   <none>           <none>
mesh-app        loadgen-exp-030848-lm49t                                0/2     ContainerCannotRun   0             36m     10.244.0.64    minikube   <none>           <none>
