NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                            MESSAGE
istio-system    59m         Normal    NoPods              poddisruptionbudget/istiod                                        No matching pods found
istio-system    59m         Normal    ScalingReplicaSet   deployment/istiod                                                 Scaled up replica set istiod-d7f48647c from 0 to 1
istio-system    59m         Normal    Scheduled           pod/istiod-d7f48647c-kk7cj                                        Successfully assigned istio-system/istiod-d7f48647c-kk7cj to minikube
istio-system    59m         Normal    SuccessfulCreate    replicaset/istiod-d7f48647c                                       Created pod: istiod-d7f48647c-kk7cj
istio-system    59m         Warning   FailedCreate        replicaset/istiod-d7f48647c                                       Error creating: pods "istiod-d7f48647c-" is forbidden: error looking up service account istio-system/istiod: serviceaccount "istiod" not found
istio-system    59m         Normal    Pulling             pod/istiod-d7f48647c-kk7cj                                        Pulling image "docker.io/istio/pilot:1.27.0"
istio-system    59m         Normal    Started             pod/istiod-d7f48647c-kk7cj                                        Container started
istio-system    59m         Normal    Created             pod/istiod-d7f48647c-kk7cj                                        Container created
istio-system    59m         Normal    Pulled              pod/istiod-d7f48647c-kk7cj                                        Successfully pulled image "docker.io/istio/pilot:1.27.0" in 5.995s (5.995s including waiting). Image size: 252256926 bytes.
istio-system    59m         Warning   Unhealthy           pod/istiod-d7f48647c-kk7cj                                        Readiness probe failed: HTTP probe failed with statuscode: 503
istio-system    59m         Normal    NoPods              poddisruptionbudget/istio-egressgateway                           No matching pods found
istio-system    59m         Normal    NoPods              poddisruptionbudget/istio-ingressgateway                          No matching pods found
istio-system    59m         Warning   FailedCreate        replicaset/istio-egressgateway-c5fd4f5b5                          Error creating: pods "istio-egressgateway-c5fd4f5b5-" is forbidden: error looking up service account istio-system/istio-egressgateway-service-account: serviceaccount "istio-egressgateway-service-account" not found
istio-system    59m         Normal    Pulling             pod/istio-ingressgateway-c966979f-fsxsk                           Pulling image "docker.io/istio/proxyv2:1.27.0"
istio-system    59m         Normal    Scheduled           pod/istio-ingressgateway-c966979f-fsxsk                           Successfully assigned istio-system/istio-ingressgateway-c966979f-fsxsk to minikube
istio-system    59m         Normal    SuccessfulCreate    replicaset/istio-ingressgateway-c966979f                          Created pod: istio-ingressgateway-c966979f-fsxsk
istio-system    59m         Normal    ScalingReplicaSet   deployment/istio-ingressgateway                                   Scaled up replica set istio-ingressgateway-c966979f from 0 to 1
istio-system    59m         Normal    Scheduled           pod/istio-egressgateway-c5fd4f5b5-hn7bw                           Successfully assigned istio-system/istio-egressgateway-c5fd4f5b5-hn7bw to minikube
istio-system    59m         Normal    Pulling             pod/istio-egressgateway-c5fd4f5b5-hn7bw                           Pulling image "docker.io/istio/proxyv2:1.27.0"
istio-system    59m         Warning   FailedCreate        replicaset/istio-ingressgateway-c966979f                          Error creating: pods "istio-ingressgateway-c966979f-" is forbidden: error looking up service account istio-system/istio-ingressgateway-service-account: serviceaccount "istio-ingressgateway-service-account" not found
istio-system    59m         Normal    SuccessfulCreate    replicaset/istio-egressgateway-c5fd4f5b5                          Created pod: istio-egressgateway-c5fd4f5b5-hn7bw
istio-system    59m         Normal    ScalingReplicaSet   deployment/istio-egressgateway                                    Scaled up replica set istio-egressgateway-c5fd4f5b5 from 0 to 1
istio-system    58m         Normal    Pulled              pod/istio-egressgateway-c5fd4f5b5-hn7bw                           Successfully pulled image "docker.io/istio/proxyv2:1.27.0" in 4.206s (4.206s including waiting). Image size: 316084099 bytes.
istio-system    58m         Normal    Created             pod/istio-egressgateway-c5fd4f5b5-hn7bw                           Container created
istio-system    58m         Normal    Started             pod/istio-egressgateway-c5fd4f5b5-hn7bw                           Container started
istio-system    58m         Normal    Created             pod/istio-ingressgateway-c966979f-fsxsk                           Container created
istio-system    58m         Normal    Pulled              pod/istio-ingressgateway-c966979f-fsxsk                           Successfully pulled image "docker.io/istio/proxyv2:1.27.0" in 804ms (4.882s including waiting). Image size: 316084099 bytes.
istio-system    58m         Normal    Started             pod/istio-ingressgateway-c966979f-fsxsk                           Container started
mesh-app        54m         Normal    ScalingReplicaSet   deployment/productpage                                            Scaled up replica set productpage-5c9b6ddf7 from 0 to 1
mesh-app        54m         Normal    SuccessfulCreate    replicaset/productpage-5c9b6ddf7                                  Created pod: productpage-5c9b6ddf7-hr682
mesh-app        54m         Normal    Scheduled           pod/productpage-5c9b6ddf7-hr682                                   Successfully assigned mesh-app/productpage-5c9b6ddf7-hr682 to minikube
