NAME                                                        READY   STATUS    RESTARTS   AGE
pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0   2/2     Running   0          31m
pod/jaeger-7dc86c798f-94vwf                                 1/1     Running   0          32m
pod/obs-grafana-b884768db-pgqmm                             3/3     Running   0          31m
pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp     1/1     Running   0          31m
pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                 1/1     Running   0          31m
pod/obs-prometheus-node-exporter-xl4d6                      1/1     Running   0          31m
pod/otel-collector-59bbdd464b-jr787                         1/1     Running   0          4m14s
pod/prometheus-obs-kube-prometheus-stack-prometheus-0       2/2     Running   0          31m

NAME                                             TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                 AGE
service/alertmanager-operated                    ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP              31m
service/jaeger-collector                         ClusterIP   10.104.206.129   <none>        4317/TCP,4318/TCP,14250/TCP,14268/TCP   32m
service/jaeger-query                             ClusterIP   10.111.118.64    <none>        16686/TCP                               32m
service/obs-grafana                              ClusterIP   10.101.181.152   <none>        80/TCP                                  31m
service/obs-kube-prometheus-stack-alertmanager   ClusterIP   10.106.216.17    <none>        9093/TCP,8080/TCP                       31m
service/obs-kube-prometheus-stack-operator       ClusterIP   10.106.70.5      <none>        443/TCP                                 31m
service/obs-kube-prometheus-stack-prometheus     ClusterIP   10.97.153.77     <none>        9090/TCP,8080/TCP                       31m
service/obs-kube-state-metrics                   ClusterIP   10.110.224.196   <none>        8080/TCP                                31m
service/obs-prometheus-node-exporter             ClusterIP   10.100.125.102   <none>        9100/TCP                                31m
service/otel-collector                           ClusterIP   10.105.145.190   <none>        4317/TCP,4318/TCP,8889/TCP              32m
service/prometheus-operated                      ClusterIP   None             <none>        9090/TCP                                31m
