NAMESPACE       NAME                                                TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                                      AGE
default         kubernetes                                          ClusterIP      10.96.0.1        <none>        443/TCP                                                                      28h
istio-system    istio-egressgateway                                 ClusterIP      10.105.90.240    <none>        80/TCP,443/TCP                                                               59m
istio-system    istio-ingressgateway                                LoadBalancer   10.100.122.255   <pending>     15021:31792/TCP,80:31475/TCP,443:30868/TCP,31400:31015/TCP,15443:30536/TCP   59m
istio-system    istiod                                              ClusterIP      10.111.180.34    <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                        59m
kube-system     kube-dns                                            ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                                                       28h
kube-system     obs-kube-prometheus-stack-coredns                   ClusterIP      None             <none>        9153/TCP                                                                     31m
kube-system     obs-kube-prometheus-stack-kube-controller-manager   ClusterIP      None             <none>        10257/TCP                                                                    31m
kube-system     obs-kube-prometheus-stack-kube-etcd                 ClusterIP      None             <none>        2381/TCP                                                                     31m
kube-system     obs-kube-prometheus-stack-kube-proxy                ClusterIP      None             <none>        10249/TCP                                                                    31m
kube-system     obs-kube-prometheus-stack-kube-scheduler            ClusterIP      None             <none>        10259/TCP                                                                    31m
kube-system     obs-kube-prometheus-stack-kubelet                   ClusterIP      None             <none>        10250/TCP,4194/TCP,10255/TCP                                                 31m
mesh-app        productpage                                         ClusterIP      10.98.135.106    <none>        9080/TCP                                                                     54m
observability   alertmanager-operated                               ClusterIP      None             <none>        9093/TCP,9094/TCP,9094/UDP                                                   31m
observability   jaeger-collector                                    ClusterIP      10.104.206.129   <none>        4317/TCP,4318/TCP,14250/TCP,14268/TCP                                        32m
observability   jaeger-query                                        ClusterIP      10.111.118.64    <none>        16686/TCP                                                                    32m
observability   obs-grafana                                         ClusterIP      10.101.181.152   <none>        80/TCP                                                                       31m
observability   obs-kube-prometheus-stack-alertmanager              ClusterIP      10.106.216.17    <none>        9093/TCP,8080/TCP                                                            31m
observability   obs-kube-prometheus-stack-operator                  ClusterIP      10.106.70.5      <none>        443/TCP                                                                      31m
observability   obs-kube-prometheus-stack-prometheus                ClusterIP      10.97.153.77     <none>        9090/TCP,8080/TCP                                                            31m
observability   obs-kube-state-metrics                              ClusterIP      10.110.224.196   <none>        8080/TCP                                                                     31m
observability   obs-prometheus-node-exporter                        ClusterIP      10.100.125.102   <none>        9100/TCP                                                                     31m
observability   otel-collector                                      ClusterIP      10.105.145.190   <none>        4317/TCP,4318/TCP,8889/TCP                                                   32m
observability   prometheus-operated                                 ClusterIP      None             <none>        9090/TCP                                                                     31m
