NAMESPACE       NAME                                                TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                                      AGE
default         kubernetes                                          ClusterIP      10.96.0.1        <none>        443/TCP                                                                      24h
istio-system    istio-egressgateway                                 ClusterIP      10.101.198.181   <none>        80/TCP,443/TCP                                                               24h
istio-system    istio-ingressgateway                                LoadBalancer   10.99.237.11     <pending>     15021:32194/TCP,80:30301/TCP,443:31684/TCP,31400:32270/TCP,15443:30701/TCP   24h
istio-system    istiod                                              ClusterIP      10.106.112.123   <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                        24h
istio-system    istiod-revision-tag-default                         ClusterIP      10.98.202.14     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                        24h
kube-system     kube-dns                                            ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                                                       24h
kube-system     obs-kube-prometheus-stack-coredns                   ClusterIP      None             <none>        9153/TCP                                                                     24h
kube-system     obs-kube-prometheus-stack-kube-controller-manager   ClusterIP      None             <none>        10257/TCP                                                                    24h
kube-system     obs-kube-prometheus-stack-kube-etcd                 ClusterIP      None             <none>        2381/TCP                                                                     24h
kube-system     obs-kube-prometheus-stack-kube-proxy                ClusterIP      None             <none>        10249/TCP                                                                    24h
kube-system     obs-kube-prometheus-stack-kube-scheduler            ClusterIP      None             <none>        10259/TCP                                                                    24h
kube-system     obs-kube-prometheus-stack-kubelet                   ClusterIP      None             <none>        10250/TCP,4194/TCP,10255/TCP                                                 24h
mesh-app        adservice                                           ClusterIP      10.104.86.226    <none>        9555/TCP                                                                     12h
mesh-app        cartservice                                         ClusterIP      10.97.74.113     <none>        7070/TCP                                                                     12h
mesh-app        checkoutservice                                     ClusterIP      10.96.128.157    <none>        5050/TCP                                                                     12h
mesh-app        currencyservice                                     ClusterIP      10.107.128.24    <none>        7000/TCP                                                                     12h
mesh-app        details                                             ClusterIP      10.104.36.209    <none>        9080/TCP                                                                     24h
mesh-app        emailservice                                        ClusterIP      10.105.139.42    <none>        5000/TCP                                                                     12h
mesh-app        frontend                                            ClusterIP      10.97.106.61     <none>        80/TCP                                                                       12h
mesh-app        frontend-external                                   LoadBalancer   10.108.226.225   <pending>     80:30943/TCP                                                                 12h
mesh-app        paymentservice                                      ClusterIP      10.97.117.1      <none>        50051/TCP                                                                    12h
mesh-app        productcatalogservice                               ClusterIP      10.102.15.130    <none>        3550/TCP                                                                     12h
mesh-app        productpage                                         ClusterIP      10.97.217.80     <none>        9080/TCP                                                                     24h
mesh-app        ratings                                             ClusterIP      10.97.157.72     <none>        9080/TCP                                                                     24h
mesh-app        recommendationservice                               ClusterIP      10.111.27.99     <none>        8080/TCP                                                                     12h
mesh-app        redis-cart                                          ClusterIP      10.107.176.125   <none>        6379/TCP                                                                     12h
mesh-app        reviews                                             ClusterIP      10.105.237.103   <none>        9080/TCP                                                                     24h
mesh-app        shippingservice                                     ClusterIP      10.108.190.15    <none>        50051/TCP                                                                    12h
ob-app          adservice                                           ClusterIP      10.100.89.92     <none>        9555/TCP                                                                     12h
ob-app          cartservice                                         ClusterIP      10.97.94.110     <none>        7070/TCP                                                                     12h
ob-app          checkoutservice                                     ClusterIP      10.100.212.187   <none>        5050/TCP                                                                     12h
ob-app          currencyservice                                     ClusterIP      10.105.33.252    <none>        7000/TCP                                                                     12h
ob-app          emailservice                                        ClusterIP      10.110.230.18    <none>        5000/TCP                                                                     12h
ob-app          frontend                                            ClusterIP      10.98.128.50     <none>        80/TCP                                                                       12h
ob-app          frontend-external                                   LoadBalancer   10.97.19.192     <pending>     80:31514/TCP                                                                 12h
ob-app          paymentservice                                      ClusterIP      10.106.222.6     <none>        50051/TCP                                                                    12h
ob-app          productcatalogservice                               ClusterIP      10.104.177.223   <none>        3550/TCP                                                                     12h
ob-app          recommendationservice                               ClusterIP      10.110.38.221    <none>        8080/TCP                                                                     12h
ob-app          redis-cart                                          ClusterIP      10.106.58.37     <none>        6379/TCP                                                                     12h
ob-app          shippingservice                                     ClusterIP      10.103.23.46     <none>        50051/TCP                                                                    12h
observability   alertmanager-operated                               ClusterIP      None             <none>        9093/TCP,9094/TCP,9094/UDP                                                   24h
observability   jaeger-collector                                    ClusterIP      10.98.162.127    <none>        4317/TCP,4318/TCP,14250/TCP,14268/TCP                                        24h
observability   jaeger-query                                        ClusterIP      10.101.50.145    <none>        16686/TCP                                                                    24h
observability   obs-grafana                                         ClusterIP      10.109.210.183   <none>        80/TCP                                                                       24h
observability   obs-kube-prometheus-stack-alertmanager              ClusterIP      10.98.198.183    <none>        9093/TCP,8080/TCP                                                            24h
observability   obs-kube-prometheus-stack-operator                  ClusterIP      10.108.152.105   <none>        443/TCP                                                                      24h
observability   obs-kube-prometheus-stack-prometheus                ClusterIP      10.109.19.15     <none>        9090/TCP,8080/TCP                                                            24h
observability   obs-kube-state-metrics                              ClusterIP      10.98.127.51     <none>        8080/TCP                                                                     24h
observability   obs-prometheus-node-exporter                        ClusterIP      10.104.162.171   <none>        9100/TCP                                                                     24h
observability   otel-collector                                      ClusterIP      10.98.5.1        <none>        4317/TCP,4318/TCP,8888/TCP,8889/TCP                                          24h
observability   prometheus-operated                                 ClusterIP      None             <none>        9090/TCP                                                                     24h
