NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                    MESSAGE
observability   28m         Warning   Unhealthy           pod/obs-kube-prometheus-stack-operator-64496c4978-4b4vq   Readiness probe failed: Get "https://10.244.0.20:10250/healthz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
observability   8m18s       Normal    Scheduled           pod/otel-collector-6cd5f4477d-z7nvc                       Successfully assigned observability/otel-collector-6cd5f4477d-z7nvc to minikube-m02
observability   8m18s       Normal    SuccessfulCreate    replicaset/otel-collector-6cd5f4477d                      Created pod: otel-collector-6cd5f4477d-z7nvc
observability   8m18s       Normal    ScalingReplicaSet   deployment/otel-collector                                 Scaled up replica set otel-collector-6cd5f4477d from 0 to 1
observability   8m17s       Normal    Started             pod/otel-collector-6cd5f4477d-z7nvc                       Container started
observability   8m17s       Normal    Created             pod/otel-collector-6cd5f4477d-z7nvc                       Container created
observability   8m17s       Normal    Pulled              pod/otel-collector-6cd5f4477d-z7nvc                       Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   8m16s       Normal    Killing             pod/otel-collector-58854f7598-zsgpw                       Stopping container otel-collector
observability   8m16s       Normal    SuccessfulDelete    replicaset/otel-collector-58854f7598                      Deleted pod: otel-collector-58854f7598-zsgpw
observability   8m16s       Normal    ScalingReplicaSet   deployment/otel-collector                                 Scaled down replica set otel-collector-58854f7598 from 1 to 0
ob-app          8m9s        Normal    Scheduled           pod/loadgen-exp-011304-979h5                              Successfully assigned ob-app/loadgen-exp-011304-979h5 to minikube-m02
ob-app          8m9s        Normal    SuccessfulCreate    job/loadgen-exp-011304                                    Created pod: loadgen-exp-011304-979h5
ob-app          8m8s        Normal    Created             pod/loadgen-exp-011304-979h5                              Container created
ob-app          8m8s        Normal    Pulled              pod/loadgen-exp-011304-979h5                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
ob-app          8m7s        Normal    Started             pod/loadgen-exp-011304-979h5                              Container started
ob-app          8m6s        Normal    Started             pod/loadgen-exp-011304-979h5                              Container started
ob-app          8m6s        Normal    Created             pod/loadgen-exp-011304-979h5                              Container created
ob-app          8m6s        Normal    Pulled              pod/loadgen-exp-011304-979h5                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
ob-app          8m4s        Normal    Started             pod/loadgen-exp-011304-979h5                              Container started
ob-app          8m4s        Normal    Created             pod/loadgen-exp-011304-979h5                              Container created
ob-app          8m4s        Normal    Pulled              pod/loadgen-exp-011304-979h5                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
ob-app          6m2s        Normal    Killing             pod/loadgen-exp-011304-979h5                              Stopping container istio-proxy
ob-app          5m57s       Normal    Completed           job/loadgen-exp-011304                                    Job completed
observability   3m1s        Normal    SuccessfulCreate    replicaset/otel-collector-5cbdc4f9c4                      Created pod: otel-collector-5cbdc4f9c4-rlz7b
observability   3m1s        Normal    Scheduled           pod/otel-collector-5cbdc4f9c4-rlz7b                       Successfully assigned observability/otel-collector-5cbdc4f9c4-rlz7b to minikube-m02
observability   3m1s        Normal    ScalingReplicaSet   deployment/otel-collector                                 Scaled up replica set otel-collector-5cbdc4f9c4 from 0 to 1
observability   3m          Normal    Started             pod/otel-collector-5cbdc4f9c4-rlz7b                       Container started
observability   3m          Normal    Created             pod/otel-collector-5cbdc4f9c4-rlz7b                       Container created
observability   3m          Normal    Pulled              pod/otel-collector-5cbdc4f9c4-rlz7b                       Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   2m59s       Normal    Killing             pod/otel-collector-6cd5f4477d-z7nvc                       Stopping container otel-collector
observability   2m59s       Normal    SuccessfulDelete    replicaset/otel-collector-6cd5f4477d                      Deleted pod: otel-collector-6cd5f4477d-z7nvc
observability   2m59s       Normal    ScalingReplicaSet   deployment/otel-collector                                 Scaled down replica set otel-collector-6cd5f4477d from 1 to 0
ob-app          2m49s       Normal    Scheduled           pod/loadgen-exp-011823-snhqr                              Successfully assigned ob-app/loadgen-exp-011823-snhqr to minikube-m02
ob-app          2m49s       Normal    SuccessfulCreate    job/loadgen-exp-011823                                    Created pod: loadgen-exp-011823-snhqr
ob-app          2m48s       Normal    Pulled              pod/loadgen-exp-011823-snhqr                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
ob-app          2m48s       Normal    Created             pod/loadgen-exp-011823-snhqr                              Container created
ob-app          2m48s       Normal    Created             pod/loadgen-exp-011823-snhqr                              Container created
ob-app          2m48s       Normal    Pulled              pod/loadgen-exp-011823-snhqr                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
ob-app          2m48s       Normal    Started             pod/loadgen-exp-011823-snhqr                              Container started
ob-app          2m47s       Normal    Started             pod/loadgen-exp-011823-snhqr                              Container started
ob-app          2m45s       Normal    Pulled              pod/loadgen-exp-011823-snhqr                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
ob-app          2m45s       Normal    Started             pod/loadgen-exp-011823-snhqr                              Container started
ob-app          2m45s       Normal    Created             pod/loadgen-exp-011823-snhqr                              Container created
mesh-app        109s        Warning   Unhealthy           pod/currencyservice-7f9f695db5-rbzwx                      Liveness probe failed: Get "http://10.244.0.7:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          109s        Warning   Unhealthy           pod/productcatalogservice-54c86d9f79-nfv9q                Readiness probe failed: Get "http://10.244.0.14:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        109s        Warning   Unhealthy           pod/paymentservice-7cff85ccd7-sdss9                       Liveness probe failed: Get "http://10.244.0.6:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          43s         Normal    Killing             pod/loadgen-exp-011823-snhqr                              Stopping container istio-proxy
ob-app          39s         Normal    Completed           job/loadgen-exp-011823                                    Job completed
