NAME                                                        READY   STATUS    RESTARTS      AGE
pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0   2/2     Running   2 (24h ago)   24h
pod/jaeger-7dc86c798f-85zxd                                 1/1     Running   1 (24h ago)   24h
pod/obs-grafana-7d5dcb6bd5-8mnwf                            3/3     Running   0             12h
pod/obs-kube-prometheus-stack-operator-64496c4978-4b4vq     1/1     Running   0             12h
pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 1/1     Running   1 (24h ago)   24h
pod/obs-prometheus-node-exporter-6c5vm                      1/1     Running   1 (24h ago)   24h
pod/obs-prometheus-node-exporter-znvjs                      1/1     Running   1 (24h ago)   24h
pod/otel-collector-5cbdc4f9c4-rlz7b                         1/1     Running   0             3m1s
pod/prometheus-obs-kube-prometheus-stack-prometheus-0       2/2     Running   2 (24h ago)   24h

NAME                                             TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                 AGE
service/alertmanager-operated                    ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP              24h
service/jaeger-collector                         ClusterIP   10.98.162.127    <none>        4317/TCP,4318/TCP,14250/TCP,14268/TCP   24h
service/jaeger-query                             ClusterIP   10.101.50.145    <none>        16686/TCP                               24h
service/obs-grafana                              ClusterIP   10.109.210.183   <none>        80/TCP                                  24h
service/obs-kube-prometheus-stack-alertmanager   ClusterIP   10.98.198.183    <none>        9093/TCP,8080/TCP                       24h
service/obs-kube-prometheus-stack-operator       ClusterIP   10.108.152.105   <none>        443/TCP                                 24h
service/obs-kube-prometheus-stack-prometheus     ClusterIP   10.109.19.15     <none>        9090/TCP,8080/TCP                       24h
service/obs-kube-state-metrics                   ClusterIP   10.98.127.51     <none>        8080/TCP                                24h
service/obs-prometheus-node-exporter             ClusterIP   10.104.162.171   <none>        9100/TCP                                24h
service/otel-collector                           ClusterIP   10.98.5.1        <none>        4317/TCP,4318/TCP,8888/TCP,8889/TCP     24h
service/prometheus-operated                      ClusterIP   None             <none>        9090/TCP                                24h
