NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                      MESSAGE
default         8m1s        Normal    Starting            node/minikube-m02                                           
default         9m12s       Normal    Starting            node/minikube                                               
ob-app          12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-zdlpr                        Liveness probe failed: Get "http://10.244.0.11:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-78rmd                        Liveness probe failed: Get "http://10.244.0.10:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-hng66                         Liveness probe failed: Get "http://10.244.0.12:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-ffswh                             Liveness probe failed: Get "http://10.244.0.17:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/shippingservice-846f8585d7-5b28h                        Liveness probe failed: Get "http://10.244.0.9:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-rbzwx                        Liveness probe failed: Get "http://10.244.0.7:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-spznm                        Liveness probe failed: Get "http://10.244.0.16:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   12h         Warning   Unhealthy           pod/obs-prometheus-node-exporter-znvjs                      Liveness probe failed: Get "http://192.168.49.2:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/productcatalogservice-54c86d9f79-nfv9q                  Liveness probe failed: Get "http://10.244.0.14:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-scheduler-minikube                                 Readiness probe failed: Get "https://127.0.0.1:10259/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/frontend-76c94f7cfb-vtz6n                               Liveness probe failed: Get "http://10.244.0.15:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-x8crc                             Liveness probe failed: Get "http://10.244.0.8:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/redis-cart-6899b65948-87b5c                             Liveness probe failed: Get "http://10.244.0.13:15020/app-health/redis/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-sdss9                         Liveness probe failed: Get "http://10.244.0.6:15020/app-health/server/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-zdlpr                        Readiness probe failed: Get "http://10.244.0.11:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   12h         Warning   Unhealthy           pod/prometheus-obs-kube-prometheus-stack-prometheus-0       Liveness probe failed: Get "http://10.244.0.2:9090/-/healthy": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-rbzwx                        Readiness probe failed: Get "http://10.244.0.7:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-78rmd                        Readiness probe failed: Get "http://10.244.0.10:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-scheduler-minikube                                 Readiness probe failed: Get "https://127.0.0.1:10259/readyz": context deadline exceeded
kube-system     12h         Warning   Unhealthy           pod/kube-controller-manager-minikube                        Liveness probe failed: Get "https://127.0.0.1:10257/healthz": context deadline exceeded
ob-app          12h         Warning   Unhealthy           pod/redis-cart-6899b65948-87b5c                             Readiness probe failed: Get "http://10.244.0.13:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-ffswh                             Readiness probe failed: Get "http://10.244.0.17:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/redis-cart-6899b65948-87b5c                             Readiness probe failed: Get "http://10.244.0.13:15020/app-health/redis/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-x8crc                             Readiness probe failed: Get "http://10.244.0.8:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-hng66                         Readiness probe failed: Get "http://10.244.0.12:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/coredns-7d764666f9-rqpsz                                Readiness probe failed: Get "http://10.244.0.3:8181/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Liveness probe failed: Get "https://192.168.49.2:8443/livez": context deadline exceeded
ob-app          12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-ffswh                             Readiness probe failed: Get "http://10.244.0.17:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/cartservice-dc9f4fb6d-x8crc                             Readiness probe failed: Get "http://10.244.0.8:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   12h         Warning   Unhealthy           pod/prometheus-obs-kube-prometheus-stack-prometheus-0       Readiness probe failed: Get "http://10.244.0.2:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Readiness probe failed: Get "https://192.168.49.2:8443/readyz": net/http: TLS handshake timeout
kube-system     12h         Warning   Unhealthy           pod/kube-scheduler-minikube                                 Liveness probe failed: Get "https://127.0.0.1:10259/livez": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Liveness probe failed: Get "https://192.168.49.2:8443/livez": net/http: TLS handshake timeout
mesh-app        12h         Warning   Unhealthy           pod/shippingservice-846f8585d7-5b28h                        Readiness probe failed: Get "http://10.244.0.9:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Readiness probe failed: Get "https://192.168.49.2:8443/readyz": net/http: TLS handshake timeout (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/frontend-76c94f7cfb-vtz6n                               Readiness probe failed: Get "http://10.244.0.15:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Liveness probe failed: Get "https://192.168.49.2:8443/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-zdlpr                        Readiness probe failed: Get "http://10.244.0.11:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/checkoutservice-6d7ccbb6cf-78rmd                        Readiness probe failed: Get "http://10.244.0.10:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/shippingservice-846f8585d7-5b28h                        Readiness probe failed: Get "http://10.244.0.9:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/frontend-76c94f7cfb-vtz6n                               Readiness probe failed: Get "http://10.244.0.15:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-controller-manager-minikube                        Liveness probe failed: Get "https://127.0.0.1:10257/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/etcd-minikube                                           Readiness probe failed: Get "http://127.0.0.1:2381/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-sdss9                         Readiness probe failed: Get "http://10.244.0.6:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-scheduler-minikube                                 Liveness probe failed: Get "https://127.0.0.1:10259/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/productcatalogservice-54c86d9f79-nfv9q                  Readiness probe failed: Get "http://10.244.0.14:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-spznm                        Readiness probe failed: Get "http://10.244.0.16:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-spznm                        Readiness probe failed: Get "http://10.244.0.16:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-sdss9                         Readiness probe failed: Get "http://10.244.0.6:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ob-app          12h         Warning   Unhealthy           pod/productcatalogservice-54c86d9f79-nfv9q                  Readiness probe failed: Get "http://10.244.0.14:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-controller-manager-minikube                        Liveness probe failed: Get "https://127.0.0.1:10257/healthz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-scheduler-minikube                                 Liveness probe failed: Get "https://127.0.0.1:10259/livez": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
